year_month,mean_temp,median_temp,var_temp,min_temp,max_temp,mean_prcp,median_prcp,var_prcp,min_prcp,max_prcp
1950-01,32.216299019607845,32.3,581.1135376969802,-30.7,86.4,0.0,0.0,0.0,0.0,0.0
1950-02,38.54848066298342,38.3,384.61541954181047,-21.4,86.5,0.0,0.0,0.0,0.0,0.0
1950-03,42.54841815680881,41.3,362.69776264584095,-13.7,86.1,0.0,0.0,0.0,0.0,0.0
1950-04,51.58463768115942,49.7,230.0698071979973,10.6,86.4,0.0,0.0,0.0,0.0,0.0
1950-05,59.93930921052631,60.3,148.8114835417932,29.0,94.4,0.0,0.0,0.0,0.0,0.0
1950-06,67.5486328125,66.95,108.02614294123023,42.5,101.9,0.0,0.0,0.0,0.0,0.0
1950-07,70.37186311787072,70.3,86.65954966503715,47.2,102.6,0.0,0.0,0.0,0.0,0.0
1950-08,69.19713603818616,70.3,54.17405876374597,49.7,85.6,0.0,0.0,0.0,0.0,0.0
1950-09,63.37451523545707,62.1,107.76473761157277,34.5,91.1,0.0,0.0,0.0,0.0,0.0
1950-10,56.990045248868775,55.2,139.55353681612513,31.2,84.1,0.0,0.0,0.0,0.0,0.0
1950-11,49.39722222222222,45.3,334.1161604361373,16.0,85.7,0.0,0.0,0.0,0.0,0.0
1950-12,63.325,79.05000000000001,557.2916860465118,27.9,87.5,0.0,0.0,0.0,0.0,0.0
1951-01,31.47659574468085,31.7,219.55824032709927,-11.5,63.5,0.0,0.0,0.0,0.0,0.0
1951-02,34.0076,34.4,245.05701028112455,-13.6,71.9,0.0,0.0,0.0,0.0,0.0
1951-03,42.81393034825871,40.8,167.3041049751244,16.6,76.1,0.0,0.0,0.0,0.0,0.0
1951-04,53.347297297297295,50.75,151.96536679536686,30.1,83.5,0.0,0.0,0.0,0.0,0.0
1951-05,63.417419354838714,62.7,102.57794134897371,45.3,84.3,0.0,0.0,0.0,0.0,0.0
1951-06,70.04733333333334,69.3,92.44089888143186,51.0,90.3,0.0,0.0,0.0,0.0,0.0
1951-07,82.18865979381444,82.2,38.81518256013747,59.6,93.3,0.0,0.0,0.0,0.0,0.0
1951-08,82.16428571428571,82.8,32.490424710424676,68.0,92.6,0.0,0.0,0.0,0.0,0.0
1951-09,73.50625,74.0,116.81678571428594,51.7,90.6,0.0,0.0,0.0,0.0,0.0
1951-10,65.10392156862746,69.1,170.82358431372532,34.1,85.2,0.0,0.0,0.0,0.0,0.0
1951-11,47.86666666666667,47.55,180.4673446327684,24.1,72.2,0.0,0.0,0.0,0.0,0.0
1951-12,42.77258064516129,44.849999999999994,253.33480962453703,7.0,67.4,0.0,0.0,0.0,0.0,0.0
1952-01,35.18686567164179,34.7,193.2026413441775,-13.0,72.2,0.0,0.0,0.0,0.0,0.0
1952-02,37.49809160305343,37.1,120.4627166505805,7.3,65.7,0.0,0.0,0.0,0.0,0.0
1952-03,42.69529780564263,41.5,167.504474675184,8.9,74.8,0.0,0.0,0.0,0.0,0.0
1952-04,54.01266968325792,55.1,100.19420238584941,28.1,72.4,0.0,0.0,0.0,0.0,0.0
1952-05,62.15371900826447,62.9,86.39467355371897,41.0,78.7,0.0,0.0,0.0,0.0,0.0
1952-06,69.21333333333334,69.2,41.65330337078646,53.3,84.3,0.0,0.0,0.0,0.0,0.0
1952-07,75.62727272727273,77.0,59.556220095694,52.9,91.5,0.0,0.0,0.0,0.0,0.0
1952-08,74.26774193548388,73.35,25.947466948704378,59.0,87.5,0.0,0.0,0.0,0.0,0.0
1952-09,73.16666666666667,75.0,43.771818181818155,58.2,84.9,0.0,0.0,0.0,0.0,0.0
1952-10,65.6741935483871,63.3,35.15664516129037,57.4,78.6,0.0,0.0,0.0,0.0,0.0
1952-11,49.9,51.4,51.246206896551705,36.4,61.6,0.0,0.0,0.0,0.0,0.0
1952-12,45.873333333333335,45.8,12.086160919540234,40.7,53.6,0.0,0.0,0.0,0.0,0.0
1953-01,37.98248847926268,37.2,183.96796053681845,-4.8,77.0,0.0,0.0,0.0,0.0,0.0
1953-02,36.79287671232876,35.2,194.859839229264,-4.7,78.1,0.0,0.0,0.0,0.0,0.0
1953-03,42.8297157622739,41.9,188.2761872246992,9.9,81.2,0.0,0.0,0.0,0.0,0.0
1953-04,49.521727019498606,47.8,129.8960070649381,27.0,85.5,0.0,0.0,0.0,0.0,0.0
